id	displayName	reasonAdvertisement	reasonBilk	reasonSpam
nowness		TRUE	FALSE	FALSE
npmjs		TRUE	FALSE	FALSE
nprfreshair		TRUE	FALSE	FALSE
nypl		TRUE	FALSE	FALSE
o0kid0o		TRUE	FALSE	FALSE
officialwarped		TRUE	FALSE	FALSE
oh-anthonio		TRUE	FALSE	FALSE
okbjgm		TRUE	FALSE	FALSE
oktotalk		TRUE	FALSE	FALSE
oldnewyork		TRUE	FALSE	FALSE
olympic-pig		TRUE	FALSE	FALSE
one-twenty-five		TRUE	FALSE	FALSE
oneweekoneband		TRUE	FALSE	FALSE
onlinecounsellingcollege		TRUE	FALSE	FALSE
onmoonbeams		TRUE	FALSE	FALSE
outofficial		TRUE	FALSE	FALSE
overfierce		TRUE	FALSE	FALSE
pain-from-the-inside		TRUE	FALSE	FALSE
pancze		TRUE	FALSE	FALSE
paper-mario-wiki		TRUE	FALSE	FALSE
paralysing-sadness		TRUE	FALSE	FALSE
parislemon		TRUE	FALSE	FALSE
partylikeawordstar		TRUE	FALSE	FALSE
patrickbeach		TRUE	FALSE	FALSE
patternbase		TRUE	FALSE	FALSE
pauwow		TRUE	FALSE	FALSE
pbsamericanmasters		TRUE	FALSE	FALSE
penn-state-university		TRUE	FALSE	FALSE
performamagazine		TRUE	FALSE	FALSE
perpetuallykelsey		TRUE	FALSE	FALSE
perrfectly		TRUE	FALSE	FALSE
philamuseum		TRUE	FALSE	FALSE
picsthatmakeyougohmm		TRUE	FALSE	FALSE
pinkmilk-0062		TRUE	FALSE	FALSE
pixalry		TRUE	FALSE	FALSE
plaintextoffenders		TRUE	FALSE	FALSE
plannedparenthood		TRUE	FALSE	FALSE
playbill		TRUE	FALSE	FALSE
pluddiedoodle		TRUE	FALSE	FALSE
poetinside		TRUE	FALSE	FALSE
poetryfoundation		TRUE	FALSE	FALSE
politico		TRUE	FALSE	FALSE
popculturebrain		TRUE	FALSE	FALSE
positive-memes		TRUE	FALSE	FALSE
positivelypersistentteach		TRUE	FALSE	FALSE
postersofberlin		TRUE	FALSE	FALSE
pozmagazine		TRUE	FALSE	FALSE
ppaction		TRUE	FALSE	FALSE
pre-party		TRUE	FALSE	FALSE
prettycolors		TRUE	FALSE	FALSE
princesscheeto		TRUE	FALSE	FALSE
prochoiceamerica		TRUE	FALSE	FALSE
prostheticknowledge		TRUE	FALSE	FALSE
prozdvoices		TRUE	FALSE	FALSE
psych2go		TRUE	FALSE	FALSE
publicdomainreview		TRUE	FALSE	FALSE
purplebuddhaproject		TRUE	FALSE	FALSE
quotemadness		TRUE	FALSE	FALSE
raccoon-sex		TRUE	FALSE	FALSE
radiologysigns		TRUE	FALSE	FALSE
raeenroes		TRUE	FALSE	FALSE
randomactsorg		TRUE	FALSE	FALSE
randomdragon5		TRUE	FALSE	FALSE
ransomcenter		TRUE	FALSE	FALSE
realchrisilluminati		TRUE	FALSE	FALSE
reasonsmysoniscrying		TRUE	FALSE	FALSE
rebelwithoutacrew		TRUE	FALSE	FALSE
redpyrofox		TRUE	FALSE	FALSE
renderplease		TRUE	FALSE	FALSE
retrogamingblog		TRUE	FALSE	FALSE
rladudals22		TRUE	FALSE	FALSE
rlatjdals2		TRUE	FALSE	FALSE
robhuebel		TRUE	FALSE	FALSE
rodarte		TRUE	FALSE	FALSE
rollingstone		TRUE	FALSE	FALSE
rollsoffthetongue		TRUE	FALSE	FALSE
romkids		TRUE	FALSE	FALSE
rookiemoms		TRUE	FALSE	FALSE
ruggedstyle		TRUE	FALSE	FALSE
ruinedchildhood		TRUE	FALSE	FALSE
s862342003		TRUE	FALSE	FALSE
samisoffthewall		TRUE	FALSE	FALSE
saying		TRUE	FALSE	FALSE
scanzen		TRUE	FALSE	FALSE
scienceetfiction		TRUE	FALSE	FALSE
scienceisbeauty		TRUE	FALSE	FALSE
scishow		TRUE	FALSE	FALSE
scotchtapeofficial		TRUE	FALSE	FALSE
scottspizzatours		TRUE	FALSE	FALSE
sdzoo		TRUE	FALSE	FALSE
seanklingelhoefer		TRUE	FALSE	FALSE
sensenselab		TRUE	FALSE	FALSE
setheverman		TRUE	FALSE	FALSE
sfmoma		TRUE	FALSE	FALSE
shelterpetproject		TRUE	FALSE	FALSE
shibasommelier		TRUE	FALSE	FALSE
shibazi		TRUE	FALSE	FALSE
shiftythrifting		TRUE	FALSE	FALSE
shihlun		TRUE	FALSE	FALSE
shoelust		TRUE	FALSE	FALSE
siickangel		TRUE	FALSE	FALSE
sixpenceee		TRUE	FALSE	FALSE
skellydun		TRUE	FALSE	FALSE
skinny-love-just-last-the-year-x		TRUE	FALSE	FALSE
skyscraper		TRUE	FALSE	FALSE
slimetony		TRUE	FALSE	FALSE
smallandtinyhomeideas		TRUE	FALSE	FALSE
smalldemonsblog		TRUE	FALSE	FALSE
snapshottaiwan		TRUE	FALSE	FALSE
socialworkhelper		TRUE	FALSE	FALSE
sorry		TRUE	FALSE	FALSE
sosuperawesome		TRUE	FALSE	FALSE
sotustheseriess		TRUE	FALSE	FALSE
spaceexp		TRUE	FALSE	FALSE
spicykpop		TRUE	FALSE	FALSE
splatoonus		TRUE	FALSE	FALSE
splitsider		TRUE	FALSE	FALSE
spongebobsquarepants		TRUE	FALSE	FALSE
sportspage		TRUE	FALSE	FALSE
springwiseintelligence		TRUE	FALSE	FALSE
sprulzzang		TRUE	FALSE	FALSE
sputnika		TRUE	FALSE	FALSE
srbachchan		TRUE	FALSE	FALSE
ssszphoto		TRUE	FALSE	FALSE
stability		TRUE	FALSE	FALSE
stancenation		TRUE	FALSE	FALSE
starfleetrambo		TRUE	FALSE	FALSE
straightwhiteboystexting		TRUE	FALSE	FALSE
streetphotocarlyang		TRUE	FALSE	FALSE
stylemyles		TRUE	FALSE	FALSE
subpop		TRUE	FALSE	FALSE
suitupweird		TRUE	FALSE	FALSE
sunflowermanfashion		TRUE	FALSE	FALSE
super-zac-chen		TRUE	FALSE	FALSE
taipei-eyes		TRUE	FALSE	FALSE
takingstockofwhatmattersmost		TRUE	FALSE	FALSE
tastefullyoffensive		TRUE	FALSE	FALSE
taylorswift		TRUE	FALSE	FALSE
