idNumber	idName	accountType	reasonHacker	reasonSpam
	tfgzhang	user	TRUE	FALSE
	tfp452	user	TRUE	FALSE
	tfzh	user	TRUE	FALSE
	thatmec	user	TRUE	FALSE
	TheClockworker	user	TRUE	FALSE
	thinkdiffer	user	TRUE	FALSE
	TingFengg	user	TRUE	FALSE
	ToastyMcG	user	TRUE	FALSE
	tomasenzhang	user	TRUE	FALSE
	tomluence	user	TRUE	FALSE
	tomsahaha	user	TRUE	FALSE
	tonmasee	user	TRUE	FALSE
	toxichl	user	TRUE	FALSE
	tpglzu	user	TRUE	FALSE
	TravelBB	user	TRUE	FALSE
	tryitagaina	user	TRUE	FALSE
	Tuccuay	user	TRUE	FALSE
	uilosergo	user	TRUE	FALSE
	UnionYong	user	TRUE	FALSE
	unsad	user	TRUE	FALSE
	Untable	user	TRUE	FALSE
	untitled95	user	TRUE	FALSE
	veficos	user	TRUE	FALSE
	w2r	user	TRUE	FALSE
	wangbaoiOS	user	TRUE	FALSE
	Wangchangchung	user	TRUE	FALSE
	watasapis	user	TRUE	FALSE
	weixunsuiyue	user	TRUE	FALSE
	wishuagood	user	TRUE	FALSE
	WMXPY	user	TRUE	FALSE
	wotuigu	user	TRUE	FALSE
	wowfighter	user	TRUE	FALSE
	wuyurui	user	TRUE	FALSE
	wweng	user	TRUE	FALSE
	X-Crack	user	TRUE	FALSE
	xiaoluluxian	user	TRUE	FALSE
	xiaoqingwakuku	user	TRUE	FALSE
	xingyijiu	user	TRUE	FALSE
	xingzhesunn	user	TRUE	FALSE
	xingzhicheng	user	TRUE	FALSE
	xuanzhanchen	user	TRUE	FALSE
	yangshaodong	user	TRUE	FALSE
	ycliyang	user	TRUE	FALSE
	yedf	user	TRUE	FALSE
	yetaboy	user	TRUE	FALSE
	yetanthone	user	TRUE	FALSE
	yiflytian	user	TRUE	FALSE
	yishiya	user	TRUE	FALSE
	yjasonu	user	TRUE	FALSE
	YocyTang	user	TRUE	FALSE
	Yologrammer	user	TRUE	FALSE
	YqopY	user	TRUE	FALSE
	YunrZhao	user	TRUE	FALSE
	yunzhu-li	user	TRUE	FALSE
	z2kr	user	TRUE	FALSE
	z9forthename	user	TRUE	FALSE
	zarathustr	user	TRUE	FALSE
	zcy924	user	TRUE	FALSE
	zhanghang1989	user	TRUE	FALSE
	zhangwukong	user	TRUE	FALSE
	zhiyicx	user	TRUE	FALSE
	zombie12138	user	TRUE	FALSE
	zuolingfengi	user	TRUE	FALSE
	zzzyx	user	TRUE	FALSE
